CrashID,State,Day,Month,Year,Hour,Minute,Crash_Type,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Articulated_Truck_Involvement,Speed_Limit,Road_User,Gender,Age
5201601290017,WA,29,1,2016,15,24,Single,No,No,No,110,Driver,Male,19
1201601290024,NSW,29,1,2016,20,52,Pedestrian,No,No,No,60,Pedestrian,Female,21
5201601290016,WA,29,1,2016,21,19,Single,No,No,No,80,Driver,Male,28
3201601300023,QLD,30,1,2016,1,0,Single,No,No,No,100,Driver,Male,41
3201601300024,QLD,30,1,2016,22,0,Single,No,No,No,80,Passenger,Male,68
4201601310005,SA,31,1,2016,3,10,Multiple,No,No,No,100,Driver,Male,27
3201602010025,QLD,1,2,2016,15,0,Pedestrian,No,No,No,60,Pedestrian,Female,83
2201602020020,VIC,2,2,2016,15,44,Multiple,No,No,No,50,Motorcycle rider,Male,18
2201602020021,VIC,2,2,2016,15,55,Multiple,No,No,No,80,Passenger,Female,81
4201602020006,SA,2,2,2016,20,5,Pedestrian,No,No,No,60,Pedestrian,Male,27
5201602030019,WA,3,2,2016,6,39,Multiple,No,No,Yes,110,Driver,Female,31
1201602030027,NSW,3,2,2016,7,30,Pedestrian,No,Yes,No,60,Pedestrian,Male,46
1201602030025,NSW,3,2,2016,12,45,Single,No,No,No,100,Driver,Male,73
1201602030026,NSW,3,2,2016,16,25,Pedestrian,Yes,No,No,50,Pedestrian,Male,41
4201602030007,SA,3,2,2016,16,35,Multiple,No,No,No,50,Motorcycle rider,Male,44
5201602030018,WA,3,2,2016,21,0,Single,No,No,No,110,Driver,Male,38
3201602040026,QLD,4,2,2016,5,0,Multiple,No,No,Yes,100,Driver,Female,29
4201602040008,SA,4,2,2016,7,23,Multiple,Yes,No,No,60,Motorcycle rider,Female,30
2201602040022,VIC,4,2,2016,15,5,Multiple,No,No,No,70,Motorcycle rider,Male,45
2201602060023,VIC,6,2,2016,3,15,Single,No,No,No,100,Motorcycle rider,Male,38
4201602060009,SA,6,2,2016,7,56,Single,No,No,No,50,Bicyclist,Male,88
1201602060028,NSW,6,2,2016,17,35,Single,No,No,No,80,Driver,Male,67
1201602060029,NSW,6,2,2016,18,0,Single,No,No,No,100,Driver,Male,48
5201602060020,WA,6,2,2016,21,30,Single,No,No,No,110,Driver,Female,45
5201602060021,WA,6,2,2016,22,45,Multiple,No,No,No,60,Motorcycle rider,Male,34
1201602070030,NSW,7,2,2016,2,30,Single,No,No,No,60,Driver,Male,76
5201602070022,WA,7,2,2016,12,26,Multiple,No,No,No,60,Passenger,Female,5
1201602070031,NSW,7,2,2016,14,40,Multiple,No,No,No,100,Driver,Male,75
1201602070032,NSW,7,2,2016,15,5,Pedestrian,No,No,No,60,Pedestrian,Male,33
1201602080034,NSW,8,2,2016,10,10,Pedestrian,No,No,No,50,Pedestrian,Female,40
1201602080033,NSW,8,2,2016,15,37,Multiple,No,Yes,No,70,Driver,Male,17
2201602080024,VIC,8,2,2016,17,10,Multiple,No,No,No,100,Motorcycle rider,Male,44
2201602080025,VIC,8,2,2016,20,0,Multiple,No,No,No,60,Motorcycle rider,Male,32
